Dis,Ct,St,Ct Wk,Ct Fi,,Opposition,Ground,Start Date
1,1,0,1,0,,ODI v West Indies,Toronto,18-Sep-99
2,1,1,1,0,,ODI v West Indies,Toronto,19-Sep-99
3,1,2,1,0,,ODI v West Indies,Sharjah,14-Oct-99
4,4,0,4,0,,ODI v Sri Lanka,Sharjah,15-Oct-99
1,1,0,1,0,,ODI v Sri Lanka,Sharjah,18-Oct-99
3,3,0,3,0,,ODI v West Indies,Sharjah,19-Oct-99
3,3,0,3,0,,ODI v Sri Lanka,Sharjah,22-Oct-99
1,1,0,1,0,,ODI v Australia,Brisbane,09-Jan-00
2,2,0,2,0,,ODI v India,Brisbane,10-Jan-00
0,0,0,0,0,,ODI v Australia,Melbourne,16-Jan-00
1,1,0,1,0,,ODI v Australia,Sydney,19-Jan-00
1,1,0,1,0,,ODI v India,Hobart,21-Jan-00
5,3,2,3,0,,ODI v Australia,Melbourne,23-Jan-00
2,1,1,1,0,,ODI v India,Adelaide,25-Jan-00
4,4,0,4,0,,ODI v India,Perth,28-Jan-00
0,0,0,0,0,,ODI v Australia,Melbourne,02-Feb-00
3,2,1,2,0,,ODI v Australia,Sydney,04-Feb-00
0,0,0,0,0,,ODI v Sri Lanka,Karachi,13-Feb-00
3,2,1,2,0,,ODI v Sri Lanka,Gujranwala,16-Feb-00
1,1,0,1,0,,ODI v Sri Lanka,Lahore,19-Feb-00
4,3,1,3,0,,Test v Sri Lanka,Rawalpindi,26-Feb-00
5,5,0,5,0,,Test v Sri Lanka,Karachi,12-Mar-00
1,1,0,1,0,,ODI v India,Sharjah,23-Mar-00
2,2,0,2,0,,ODI v South Africa,Sharjah,24-Mar-00
4,4,0,4,0,,ODI v India,Sharjah,26-Mar-00
1,1,0,1,0,,ODI v South Africa,Sharjah,28-Mar-00
2,2,0,2,0,,ODI v South Africa,Sharjah,31-Mar-00
1,1,0,1,0,,ODI v Zimbabwe,St John's,05-Apr-00
0,0,0,0,0,,ODI v West Indies,Kingstown,12-Apr-00
0,0,0,0,0,,ODI v Zimbabwe,St George's,15-Apr-00
0,0,0,0,0,,ODI v West Indies,St George's,16-Apr-00
2,2,0,2,0,,ODI v West Indies,Bridgetown,19-Apr-00
0,0,0,0,0,,ODI v West Indies,Port of Spain,22-Apr-00
1,0,1,0,0,,ODI v West Indies,Port of Spain,23-Apr-00
0,0,0,0,0,,ODI v Bangladesh,Dhaka,02-Jun-00
2,0,2,0,0,,ODI v India,Dhaka,03-Jun-00
1,1,0,1,0,,ODI v Sri Lanka,Dhaka,05-Jun-00
1,1,0,1,0,,ODI v Sri Lanka,Dhaka,07-Jun-00
1,1,0,1,0,,ODI v Sri Lanka,Galle,05-Jul-00
0,0,0,0,0,,ODI v South Africa,Colombo (RPS),08-Jul-00
2,2,0,2,0,,ODI v Sri Lanka,Colombo (RPS),09-Jul-00
0,0,0,0,0,,ODI v South Africa,Colombo (SSC),12-Jul-00
3,3,0,3,0,,ODI v Sri Lanka,Nairobi (Gym),08-Oct-00
1,1,0,1,0,,ODI v New Zealand,Nairobi (Gym),11-Oct-00
4,3,1,3,0,,ODI v England,Karachi,24-Oct-00
3,0,3,0,0,,ODI v England,Lahore,27-Oct-00
1,1,0,1,0,,ODI v England,Rawalpindi,30-Oct-00
0,0,0,0,0,,Test v England,Lahore,15-Nov-00
3,2,1,2,0,,Test v England,Faisalabad,29-Nov-00
4,3,1,3,0,,Test v England,Karachi,07-Dec-00
1,1,0,1,0,,ODI v New Zealand,Auckland,17-Feb-01
1,1,0,1,0,,ODI v New Zealand,Napier,20-Feb-01
2,1,1,1,0,,ODI v New Zealand,Wellington,22-Feb-01
2,2,0,2,0,,ODI v New Zealand,Christchurch,25-Feb-01
0,0,0,0,0,,ODI v New Zealand,Dunedin,28-Feb-01
1,0,1,0,0,,ODI v New Zealand,Lahore,29-Nov-03
0,0,0,0,0,,ODI v New Zealand,Lahore,01-Dec-03
2,1,1,1,0,,ODI v New Zealand,Faisalabad,03-Dec-03
0,0,0,0,0,,ODI v New Zealand,Rawalpindi,05-Dec-03
0,0,0,0,0,,ODI v New Zealand,Rawalpindi,07-Dec-03
1,1,0,1,0,,ODI v New Zealand,Auckland,03-Jan-04
1,1,0,1,0,,ODI v New Zealand,Queenstown,07-Jan-04
0,0,0,0,0,,ODI v New Zealand,Christchurch,10-Jan-04
1,0,1,0,0,,ODI v New Zealand,Napier,14-Jan-04
1,1,0,1,0,,ODI v New Zealand,Wellington,17-Jan-04
0,0,0,0,0,,ODI v India,Karachi,13-Mar-04
1,0,1,0,0,,ODI v India,Rawalpindi,16-Mar-04
3,3,0,3,0,,ODI v India,Peshawar,19-Mar-04
2,2,0,2,0,,ODI v India,Lahore,21-Mar-04
3,3,0,3,0,,ODI v India,Lahore,24-Mar-04
1,1,0,1,0,,ODI v Bangladesh,Colombo (SSC),17-Jul-04
1,0,1,0,0,,ODI v Hong Kong,Colombo (SSC),18-Jul-04
0,0,0,0,0,,ODI v Sri Lanka,Colombo (RPS),21-Jul-04
1,1,0,1,0,,ODI v India,Colombo (RPS),25-Jul-04
1,1,0,1,0,,ODI v Bangladesh,Colombo (RPS),29-Jul-04
0,0,0,0,0,,ODI v India,Amstelveen,21-Aug-04
1,1,0,1,0,,ODI v Australia,Amstelveen,28-Aug-04
0,0,0,0,0,,ODI v Australia,Lord's,04-Sep-04
1,1,0,1,0,,ODI v Kenya,Birmingham,14-Sep-04
4,4,0,4,0,,ODI v India,Birmingham,19-Sep-04
0,0,0,0,0,,ODI v West Indies,Southampton,22-Sep-04
1,1,0,1,0,,ODI v Zimbabwe,Multan,30-Sep-04
2,1,1,1,0,,ODI v Sri Lanka,Lahore,14-Oct-04
1,0,1,0,0,,ODI v Sri Lanka,Lahore,16-Oct-04
